cloud_provider,cidr_block,ip_address,ip_address_mask,ip_address_cnt,region
Cloudflare,103.21.244.0/22,103.21.244.0,22,1024,no-region
Cloudflare,103.22.200.0/22,103.22.200.0,22,1024,no-region
Cloudflare,103.31.4.0/22,103.31.4.0,22,1024,no-region
Cloudflare,104.16.0.0/13,104.16.0.0,13,524288,no-region
Cloudflare,104.24.0.0/14,104.24.0.0,14,262144,no-region
Cloudflare,108.162.192.0/18,108.162.192.0,18,16384,no-region
Cloudflare,131.0.72.0/22,131.0.72.0,22,1024,no-region
Cloudflare,141.101.64.0/18,141.101.64.0,18,16384,no-region
Cloudflare,162.158.0.0/15,162.158.0.0,15,131072,no-region
Cloudflare,172.64.0.0/13,172.64.0.0,13,524288,no-region
Cloudflare,188.114.96.0/20,188.114.96.0,20,4096,no-region
Cloudflare,190.93.240.0/20,190.93.240.0,20,4096,no-region
Cloudflare,197.234.240.0/22,197.234.240.0,22,1024,no-region
Cloudflare,198.41.128.0/17,198.41.128.0,17,32768,no-region
