cloud_provider,cidr_block,ip_address,ip_address_mask,ip_address_cnt,region
IBM Cloud,128.168.117.0/24,128.168.117.0,24,256,no-region
IBM Cloud,128.168.118.0/23,128.168.118.0,23,512,no-region
IBM Cloud,13.120.118.0/24,13.120.118.0,24,256,no-region
IBM Cloud,13.121.118.0/24,13.121.118.0,24,256,no-region
IBM Cloud,13.122.118.0/24,13.122.118.0,24,256,no-region
IBM Cloud,130.198.117.0/24,130.198.117.0,24,256,no-region
IBM Cloud,130.198.118.0/23,130.198.118.0,23,512,no-region
IBM Cloud,135.90.117.0/24,135.90.117.0,24,256,no-region
IBM Cloud,135.90.118.0/23,135.90.118.0,23,512,no-region
IBM Cloud,141.125.117.0/24,141.125.117.0,24,256,no-region
IBM Cloud,141.125.118.0/23,141.125.118.0,23,512,no-region
IBM Cloud,149.81.117.0/24,149.81.117.0,24,256,no-region
IBM Cloud,149.81.118.0/23,149.81.118.0,23,512,no-region
IBM Cloud,158.175.117.0/24,158.175.117.0,24,256,no-region
IBM Cloud,158.175.127.0/24,158.175.127.0,24,256,no-region
IBM Cloud,158.176.117.0/24,158.176.117.0,24,256,no-region
IBM Cloud,158.176.118.0/23,158.176.118.0,23,512,no-region
IBM Cloud,158.85.117.0/24,158.85.117.0,24,256,no-region
IBM Cloud,158.85.118.0/23,158.85.118.0,23,512,no-region
IBM Cloud,159.122.117.0/24,159.122.117.0,24,256,no-region
IBM Cloud,159.122.118.0/23,159.122.118.0,23,512,no-region
IBM Cloud,159.122.137.0/24,159.122.137.0,24,256,no-region
IBM Cloud,159.122.138.0/23,159.122.138.0,23,512,no-region
IBM Cloud,159.8.117.0/24,159.8.117.0,24,256,no-region
IBM Cloud,159.8.118.0/23,159.8.118.0,23,512,no-region
IBM Cloud,159.8.197.0/24,159.8.197.0,24,256,no-region
IBM Cloud,159.8.198.0/23,159.8.198.0,23,512,no-region
IBM Cloud,161.156.117.0/24,161.156.117.0,24,256,no-region
IBM Cloud,161.156.118.0/24,161.156.118.0,24,256,no-region
IBM Cloud,161.202.117.0/24,161.202.117.0,24,256,no-region
IBM Cloud,161.202.118.0/23,161.202.118.0,23,512,no-region
IBM Cloud,163.68.118.0/24,163.68.118.0,24,256,no-region
IBM Cloud,163.69.118.0/24,163.69.118.0,24,256,no-region
IBM Cloud,163.73.118.0/24,163.73.118.0,24,256,no-region
IBM Cloud,163.74.118.0/23,163.74.118.0,23,512,no-region
IBM Cloud,163.75.118.0/23,163.75.118.0,23,512,no-region
IBM Cloud,165.192.117.0/24,165.192.117.0,24,256,no-region
IBM Cloud,165.192.118.0/23,165.192.118.0,23,512,no-region
IBM Cloud,168.1.17.0/24,168.1.17.0,24,256,no-region
IBM Cloud,168.1.18.0/23,168.1.18.0,23,512,no-region
IBM Cloud,169.38.117.0/24,169.38.117.0,24,256,no-region
IBM Cloud,169.38.118.0/23,169.38.118.0,23,512,no-region
IBM Cloud,169.45.117.0/24,169.45.117.0,24,256,no-region
IBM Cloud,169.45.118.0/23,169.45.118.0,23,512,no-region
IBM Cloud,169.46.117.0/24,169.46.117.0,24,256,no-region
IBM Cloud,169.46.118.0/23,169.46.118.0,23,512,no-region
IBM Cloud,169.46.187.0/24,169.46.187.0,24,256,no-region
IBM Cloud,169.47.117.0/24,169.47.117.0,24,256,no-region
IBM Cloud,169.47.118.0/23,169.47.118.0,23,512,no-region
IBM Cloud,169.48.117.0/24,169.48.117.0,24,256,no-region
IBM Cloud,169.48.118.0/24,169.48.118.0,24,256,no-region
IBM Cloud,169.54.117.0/24,169.54.117.0,24,256,no-region
IBM Cloud,169.54.118.0/23,169.54.118.0,23,512,no-region
IBM Cloud,169.54.27.0/24,169.54.27.0,24,256,no-region
IBM Cloud,169.55.117.0/24,169.55.117.0,24,256,no-region
IBM Cloud,169.55.118.0/23,169.55.118.0,23,512,no-region
IBM Cloud,169.57.137.0/24,169.57.137.0,24,256,no-region
IBM Cloud,169.57.138.0/23,169.57.138.0,23,512,no-region
IBM Cloud,169.60.117.0/24,169.60.117.0,24,256,no-region
IBM Cloud,169.60.118.0/23,169.60.118.0,23,512,no-region
IBM Cloud,169.61.117.0/24,169.61.117.0,24,256,no-region
IBM Cloud,169.61.118.0/23,169.61.118.0,23,512,no-region
IBM Cloud,169.62.118.0/24,169.62.118.0,24,256,no-region
IBM Cloud,173.192.117.0/24,173.192.117.0,24,256,no-region
IBM Cloud,174.133.117.0/24,174.133.117.0,24,256,no-region
IBM Cloud,174.133.118.0/23,174.133.118.0,23,512,no-region
IBM Cloud,192.155.205.0/24,192.155.205.0,24,256,no-region
IBM Cloud,192.255.18.0/24,192.255.18.0,24,256,no-region
IBM Cloud,192.255.38.0/24,192.255.38.0,24,256,no-region
IBM Cloud,198.11.250.0/24,198.11.250.0,24,256,no-region
IBM Cloud,198.23.117.0/24,198.23.117.0,24,256,no-region
IBM Cloud,198.23.118.0/23,198.23.118.0,23,512,no-region
IBM Cloud,208.43.117.0/24,208.43.117.0,24,256,no-region
IBM Cloud,208.43.118.0/23,208.43.118.0,23,512,no-region
IBM Cloud,5.10.117.0/24,5.10.117.0,24,256,no-region
IBM Cloud,5.10.118.0/23,5.10.118.0,23,512,no-region
IBM Cloud,50.23.117.0/24,50.23.117.0,24,256,no-region
IBM Cloud,50.23.118.0/23,50.23.118.0,23,512,no-region
IBM Cloud,50.23.203.0/24,50.23.203.0,24,256,no-region
