cloud_provider,cidr_block,ip_address,ip_address_mask,ip_address_cnt,region
Vercel,198.169.1.0/24,198.169.1.0,24,256,centralus
Vercel,198.169.2.0/24,198.169.2.0,24,256,centralus
Vercel,216.150.1.0/24,216.150.1.0,24,256,centralus
Vercel,216.150.16.0/24,216.150.16.0,24,256,centralus
Vercel,216.198.79.0/24,216.198.79.0,24,256,centralus
Vercel,216.230.84.0/24,216.230.84.0,24,256,centralus
Vercel,216.230.86.0/24,216.230.86.0,24,256,centralus
Vercel,64.125.81.216/29,64.125.81.216,29,8,centralus
Vercel,64.239.109.0/24,64.239.109.0,24,256,centralus
Vercel,64.239.123.0/24,64.239.123.0,24,256,centralus
Vercel,66.33.60.0/24,66.33.60.0,24,256,centralus
Vercel,76.76.21.0/24,76.76.21.0,24,256,centralus
